Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
city/none/normalized/uh3023/Array,,,,,,,,,,,,,,,,
選挙回,都道府県コード,都道府県名,JISコード,市区町村名,有権者数,投票者数,有効投票数,定数,候補者数,市区町村別得票数,得票総数,順位,名前,年齢,党派・会派等,現新
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,10120,,5,,0,日本共産党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,19366,,4,,0,日本維新の会,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,11835,,3,,0,民主党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,817,,8,,0,生活の党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,1359,,7,,0,社会民主党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,1146,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,27371,,1,,0,自由民主党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,436,,11,,0,みどりの風,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,6813,,6,,0,みんなの党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,14510,,2,,0,公明党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,235,,12,,0,幸福実現党,
uh3023,28,兵庫県,28108,垂水区,100545,96478,94199,50,12,191,,9,,0,新党大地,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,108,,11,,0,みどりの風,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,7223,,6,,0,みんなの党,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,17986,,2,,0,公明党,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,281,,12,,0,幸福実現党,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,280,,9,,0,新党大地,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,9812,,5,,0,日本共産党,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,18125,,4,,0,日本維新の会,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,11430,,3,,0,民主党,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,900,,8,,0,生活の党,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,1553,,7,,0,社会民主党,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,1433,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28109,北区,136620,97164,94969,50,12,25839,,1,,0,自由民主党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,810,,10,,0,緑の党グリーンズジャパン,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,13998,,1,,0,自由民主党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,242,,11,,0,みどりの風,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,4430,,6,,0,みんなの党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,6664,,2,,0,公明党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,210,,12,,0,幸福実現党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,195,,9,,0,新党大地,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,5308,,5,,0,日本共産党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,9747,,4,,0,日本維新の会,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,4313,,3,,0,民主党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,514,,8,,0,生活の党,
uh3023,28,兵庫県,28110,中央区,90340,48249,47178,50,12,747,,7,,0,社会民主党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,10019,,5,,0,日本共産党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,19991,,4,,0,日本維新の会,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,12356,,3,,0,民主党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,910,,8,,0,生活の党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,1664,,7,,0,社会民主党,
uh3023,28,兵庫県,28111,西区,199272,101434,99033,50,12,1052,,10,,0,緑の党グリーンズジャパン,
