Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17
city/none/normalized/uh3013/Array,,,,,,,,,,,,,,,,
選挙回,都道府県コード,都道府県名,JISコード,市区町村名,有権者数,投票者数,有効投票数,定数,候補者数,市区町村別得票数,得票総数,順位,名前,年齢,党派・会派等,現新
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,13,,15,,0,日本国民政治連合,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,6233,,2,,0,日本社会党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,8362,,5,,0,民主社会党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,11639,,3,,0,公明党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,118,,14,,0,教育党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,1957,,8,,0,新自由クラブ民主連合,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,34,,17,,0,日本世直し党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,7711,,4,,0,日本共産党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,1773,,9,,0,第二院クラブ,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,17490,,1,,0,自由民主党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,117,,13,,0,自由超党派クラブ,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,60,,16,,0,雑民党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,1007,,10,,0,無党派市民連合,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,509,,11,,0,田中角栄を政界から追放する勝手,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,1994,,7,,0,福祉党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,268,,12,,0,MPD・平和と民主連合,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,5067,,6,,0,サラリーマン新党,
uh3013,28,兵庫県,28101,東灘区,132814,65089,64372,50,18,20,,18,,0,世界浄霊会,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,192,,12,,0,MPD・平和と民主連合,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,2846,,6,,0,サラリーマン新党,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,8,,18,,0,世界浄霊会,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,1061,,8,,0,新自由クラブ民主連合,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,30,,17,,0,日本世直し党,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,5981,,4,,0,日本共産党,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,1,,15,,0,日本国民政治連合,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,6536,,2,,0,日本社会党,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,5836,,5,,0,民主社会党,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,11072,,3,,0,公明党,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,98,,14,,0,教育党,
uh3013,28,兵庫県,28102,灘区,105006,52430,51706,50,18,729,,10,,0,無党派市民連合,
